Model,Brand,Total Annual Energy Consumption (kWh/year),Appliance Type
DD24STX6PX1,Fisher & Paykel,114,Dishwasher
DD24STX6I1,Fisher & Paykel,114,Dishwasher
DD24STX6HI1,Fisher & Paykel,120,Dishwasher
DD24SCTW9,Fisher & Paykel,134,Dishwasher
DD24ST4NX9,Fisher & Paykel,134,Dishwasher
DD24SAX9,Fisher & Paykel,134,Dishwasher
DD24SCTB9,Fisher & Paykel,134,Dishwasher
DD24SV2T9,Fisher & Paykel,134,Dishwasher
DD24SI9,Fisher & Paykel,134,Dishwasher
DD24SDFTX9,Fisher & Paykel,134,Dishwasher
DD24SCTX9,Fisher & Paykel,134,Dishwasher
DD24STI9,Fisher & Paykel,134,Dishwasher
DD24S**9,Fisher & Paykel,144,Dishwasher
DD24SV2T9,DCS by Fisher & Paykel,144,Dishwasher
DD24SCT*9,Fisher & Paykel,151,Dishwasher
DD24SHTI9,Fisher & Paykel,152,Dishwasher
DDW631SDB,Danby,155,Dishwasher
DDW621WDB,Danby,155,Dishwasher
SD2F-P3,Fotile,160,Dishwasher
SD2F-P3L,Fotile,160,Dishwasher
MX20,Moosoo,165,Dishwasher
SD2F-P1XL,Fotile,169.1,Dishwasher
SD2F-P1X,Fotile,169.1,Dishwasher
G6875SCVI,Miele,199,Dishwasher
G6935SCI,Miele,199,Dishwasher
G6987SCVI,Miele,199,Dishwasher
G6835SCI,Miele,199,Dishwasher
SHE9ER5#UC,Bosch,200,Dishwasher
SHX9ER5#UC,Bosch,200,Dishwasher
SHV9ER5#UC,Bosch,200,Dishwasher
DD24DTX6PX1,Fisher & Paykel,202,Dishwasher
DD24DTX6I1,Fisher & Paykel,202,Dishwasher
MDC6S5A**,Midea,203,Dishwasher
BCD6W,Black & Decker,203,Dishwasher
CDC21B12***,Comfee,203,Dishwasher
MX30,Moosoo,207,Dishwasher
MX50,Moosoo,207,Dishwasher
MX40,Moosoo,207,Dishwasher
G4720SCI,Miele,210,Dishwasher
G4780SCVI,Miele,210,Dishwasher
DW24UNT4X2,Fisher & Paykel,210,Dishwasher
DW24UT4I2,Fisher & Paykel,210,Dishwasher
DWS51502****,Blomberg,220,Dishwasher
DIS25842,Beko,220,Dishwasher
DDS25842***,Beko,220,Dishwasher
DW18SS4,Summit,220,Dishwasher
DFI776*,Asko,220,Dishwasher
DBI776*,Asko,220,Dishwasher
DBI364*,Asko,220,Dishwasher
DSD565*,Asko,220,Dishwasher
DFI564*,Asko,220,Dishwasher
DBI564*,Asko,220,Dishwasher
DBI565*,Asko,220,Dishwasher
DOD561*,Asko,220,Dishwasher
DFI565*,Asko,220,Dishwasher
G6745SCU,Miele,220,Dishwasher
G6665SCVI,Miele,220,Dishwasher
G6625SCU,Miele,220,Dishwasher
G6625U,Miele,220,Dishwasher
G6785SCVI,Miele,220,Dishwasher
G5482SCVISL,Miele,220,Dishwasher
DD24DTX6HI1,Fisher & Paykel,221,Dishwasher
DW2450WS,Cove,224,Dishwasher
DW24UT2I2,Fisher & Paykel,224,Dishwasher
DW24UNT2X2,Fisher & Paykel,224,Dishwasher
F6DWT24SS2,Fulgor Milano,225,Dishwasher
F6DWT24FI2,Fulgor Milano,225,Dishwasher
DUT36520***,Beko,225,Dishwasher
VDWU324SS,Viking,225,Dishwasher
FDWU324,Viking,225,Dishwasher
DWT81800****,Blomberg,225,Dishwasher
DWT52800****,Blomberg,225,Dishwasher
DDT38530***,Beko,225,Dishwasher
DDT36430***,Beko,225,Dishwasher
VDWU524SS,Viking,225,Dishwasher
FDWU524,Viking,225,Dishwasher
DDT39432***,Beko,225,Dishwasher
DWT81900****,Blomberg,225,Dishwasher
DIT39432,Beko,225,Dishwasher
DW2450,Cove,228,Dishwasher
DUT36522***,Beko,230,Dishwasher
DDT38532*****,Beko,230,Dishwasher
DDT38532***,Beko,230,Dishwasher
DIT38532,Beko,230,Dishwasher
DDT39434*****,Beko,230,Dishwasher
FDWU724,Viking,230,Dishwasher
DIT39434**,Beko,230,Dishwasher
VDWU724SS,Viking,230,Dishwasher
DDT39434***,Beko,230,Dishwasher
DIT39434,Beko,230,Dishwasher
G5216SCU,Miele,230,Dishwasher
G5266SCVI,Miele,230,Dishwasher
G7106SCU,Miele,230,Dishwasher
G7156SCVI,Miele,230,Dishwasher
G7316SCU,Miele,230,Dishwasher
G7366SCVI,Miele,230,Dishwasher
G7516SCI,Miele,230,Dishwasher
G7566SCVI,Miele,230,Dishwasher
G7916SCI,Miele,230,Dishwasher
G7966SCVI,Miele,230,Dishwasher
G4976SCVISF,Miele,230,Dishwasher
G4926SCU,Miele,230,Dishwasher
G4926U,Miele,230,Dishwasher
G4971SCVI,Miele,230,Dishwasher
