Model,Brand,Total Annual Energy Consumption (kWh/year),Total water consumption (L/cycle),Size,Type,Volume of hot water used (litres),Drying Option,Appliance Type
DD24STX6PX1,Fisher & Paykel,114,6.02,compact,built-in,5.71,power-dry off,Dishwasher
DD24STX6I1,Fisher & Paykel,114,6.02,compact,built-in,5.71,power-dry off,Dishwasher
DD24STX6HI1,Fisher & Paykel,120,6.8,compact,built-in,6.8,power-dry with fan on and heat off,Dishwasher
DD24SCTW9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24ST4NX9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SAX9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SCTB9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SV2T9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SI9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SDFTX9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24SCTX9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24STI9,Fisher & Paykel,134,1.9,compact,built-in,1.75,power-dry off,Dishwasher
DD24S**9,Fisher & Paykel,144,6.2,compact,built-in,6.2,power-dry with fan on and heat off,Dishwasher
DD24SV2T9,DCS by Fisher & Paykel,144,6.21,compact,built-in,6.21,power-dry with fan on and heat off,Dishwasher
DD24SCT*9,Fisher & Paykel,151,6.85,compact,built-in,6.85,power-dry with fan on and heat off,Dishwasher
DD24SHTI9,Fisher & Paykel,152,6.8,compact,built-in,6.8,power-dry with fan on and heat off,Dishwasher
DDW631SDB,Danby,155,7.57,compact,portable,7.57,power-dry off,Dishwasher
DDW621WDB,Danby,155,7.57,compact,portable,7.57,power-dry off,Dishwasher
SD2F-P3,Fotile,160,8.35,compact,built-in,,power-dry with fan and heat on,Dishwasher
SD2F-P3L,Fotile,160,8.35,compact,built-in,,power-dry with fan and heat on,Dishwasher
MX20,Moosoo,165,7.2,compact,built-in,7.2,power-dry with fan and heat on,Dishwasher
SD2F-P1XL,Fotile,169.1,9.51,compact,built-in,0,power-dry with fan and heat on,Dishwasher
SD2F-P1X,Fotile,169.1,9.51,compact,built-in,0,power-dry with fan and heat on,Dishwasher
G6875SCVI,Miele,199,12.1,standard,built-in,0,air dry,Dishwasher
G6935SCI,Miele,199,12.1,standard,built-in,0,air dry,Dishwasher
G6987SCVI,Miele,199,12.1,standard,built-in,0,air dry,Dishwasher
G6835SCI,Miele,199,12.1,standard,built-in,0,air dry,Dishwasher
SHE9ER5#UC,Bosch,200,11,standard,built-in,11,heat-only,Dishwasher
SHX9ER5#UC,Bosch,200,11,standard,built-in,11,heat-only,Dishwasher
SHV9ER5#UC,Bosch,200,11,standard,built-in,11,heat-only,Dishwasher
DD24DTX6PX1,Fisher & Paykel,202,11.75,standard,built-in,11.75,power-dry with fan on and heat off,Dishwasher
DD24DTX6I1,Fisher & Paykel,202,11.75,standard,built-in,11.75,power-dry with fan on and heat off,Dishwasher
MDC6S5A**,Midea,203,11.7,compact,portable,11.7,power-dry off,Dishwasher
BCD6W,Black & Decker,203,11.7,compact,portable,11.7,power-dry off,Dishwasher
CDC21B12***,Comfee,203,11.7,compact,portable,11.7,power-dry off,Dishwasher
MX30,Moosoo,207,12,compact,built-in,12,power-dry with fan and heat on,Dishwasher
MX50,Moosoo,207,12,compact,built-in,12,power-dry with fan and heat on,Dishwasher
MX40,Moosoo,207,12,compact,built-in,12,power-dry with fan and heat on,Dishwasher
G4720SCI,Miele,210,12.1,standard,built-in,0,air dry,Dishwasher
G4780SCVI,Miele,210,12.1,standard,built-in,0,air dry,Dishwasher
DW24UNT4X2,Fisher & Paykel,210,12.11,standard,built-in,12.11,power-dry with fan on and heat off,Dishwasher
DW24UT4I2,Fisher & Paykel,210,12.11,standard,built-in,12.11,power-dry with fan on and heat off,Dishwasher
DWS51502****,Blomberg,220,9.02,standard,built-in,9.02,power-dry off,Dishwasher
DIS25842,Beko,220,9.02,standard,built-in,9.02,power-dry off,Dishwasher
DDS25842***,Beko,220,9.02,standard,built-in,9.02,power-dry off,Dishwasher
DW18SS4,Summit,220,9.02,standard,built-in,9.02,power-dry off,Dishwasher
DFI776*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DBI776*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DBI364*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DSD565*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DFI564*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DBI564*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DBI565*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DOD561*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
DFI565*,Asko,220,11.36,standard,built-in,0,heat-only,Dishwasher
G6745SCU,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G6665SCVI,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G6625SCU,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G6625U,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G6785SCVI,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
G5482SCVISL,Miele,220,12.1,standard,built-in,0,air dry,Dishwasher
